,Topic,Count,Name,Representation,Representative_Docs
77,76,13,76_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to pull out', 'to pull', 'to pull']"
78,77,13,77_day_today_after_tomorrow,"['day', 'today', 'after', 'tomorrow', 'fifth', 'sunday', 'raday', 'fourth', 'last', 'contexts']","['day after tomorrow', 'fifth day after today ', 'fourth day after today ']"
79,78,13,78_scratch_scrape_thorn_claw,"['scratch', 'scrape', 'thorn', 'claw', 'sorcerized', 'scab', 'furiously', 'heal', 'sliver', 'shave']","['to scrape e.g. scrape pig skin', 'of a thorn to scratch ', 'to scrape out of the way, to scrape out and throw away']"
80,79,13,79_different_strange_new_unprepared,"['different', 'strange', 'new', 'unprepared', 'unaware', 'peculiar', 'usual', 'same', 'ordinary', 'another']","['different, new', 'different ', 'different, strange ']"
81,80,13,80_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","[' a large pile ', 'a large pile', 'a large pile']"
82,81,13,81_animals___,"['animals', '', '', '', '', '', '', '', '', '']","['to obey', 'to obey', 'to make to obey ']"
83,82,13,82_water___,"['water', '', '', '', '', '', '', '', '', '']","['river ', 'river', 'deep water in river or in sea ']"
84,83,13,83_language___,"['language', '', '', '', '', '', '', '', '', '']","['emphatic form pơpỡ', 'emphatic form of tŏ', 'emphatic form of hlǐch']"
85,84,13,84_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['to split ', 'to split', 'to split']"
86,85,13,85_basket_back_small_decorative,"['basket', 'back', 'small', 'decorative', 'belongings', 'bottom', 'cage', 'market', 'backbasket', 'drying']","['type of basket', 'small back basket ', 'small back basket']"
87,86,13,86_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['wait, also used for future ', 'to wait a long time', 'to wait ']"
88,87,12,87_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['young unmarried man', 'husband and wife', 'to separate man from wife or not let a couple marry']"
89,88,12,88_hidden_hide_hiding_covered,"['hidden', 'hide', 'hiding', 'covered', 'hideandgoseek', 'conceal', 'appearing', 'completely', 'draw', 'your']","['to be hidden', 'to be hidden', 'to be hidden']"
90,89,12,89_human activity___,"['human activity', '', '', '', '', '', '', '', '', '']","['large gongs', 'small gongs', 'set of small and large gongs']"
