X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
1206,"to cock gun, crossbow",17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,hơ'năk
1207,"to cough up food, cough when eating",46,46_eat_eating_food_drink,"['eat', 'eating', 'food', 'drink', 'drinking', 'spirits', 'bad', 'for', 'appetite', 'hungry']","['to get hungry for when seeing someone else eat', 'to eat slowly, eat a little', 'to eat ']",eat - eating - food - drink - drinking - spirits - bad - for - appetite - hungry,FALSE,hơ'nỡk
1208,to wake up,41,41_sick_be_tired_sober,"['sick', 'be', 'tired', 'sober', 'drunk', 'warm', 'cold', 'wake', 'sweaty', 'after']","['to become sick of', 'after sickness when feeling almost well to have a bath and then get sick and die ', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']",sick - be - tired - sober - drunk - warm - cold - wake - sweaty - after,FALSE,ho'nỡr
1209,a poisonous shrub or vine like poison ivy,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,hơnganh
1210,of fire to go down almost go out,31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,hơngăm
1211,late,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,hơngễ
1212,shoulder,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,hongiĕng
1213,pine,6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,hơngo
1214,of swelling to recede,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,hơngŏ
1215,to hunt animals,42,42_animals_dog_hunting_prey,"['animals', 'dog', 'hunting', 'prey', 'trap', 'by', 'catch', 'animal', 'smelling', 'herd']","['of animals to be with young', 'to be successful in hunting animals', 'to catch animals, trap animals']",animals - dog - hunting - prey - trap - by - catch - animal - smelling - herd,FALSE,hơnguang
1216,hook lasso,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,hơnguỡk
1217,to cook on coals,23,23_rice_cooked_food_jar,"['rice', 'cooked', 'food', 'jar', 'grains', 'cook', 'wine', 'grain', 'unhusked', 'used']","['cooked rice', 'type of rice', 'cooked rice']",rice - cooked - food - jar - grains - cook - wine - grain - unhusked - used,FALSE,hơ'nger
1218,to do over and over,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,hơ'ngĕl
1219,"to not be able to stand up because of fall, sickness",29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,ho'nguir
1220,a fish net that is pulled up by cord,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,honhă
1221,to scorn,20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,hơnhăm
1222,"to be sweaty, dirty and tired",41,41_sick_be_tired_sober,"['sick', 'be', 'tired', 'sober', 'drunk', 'warm', 'cold', 'wake', 'sweaty', 'after']","['to become sick of', 'after sickness when feeling almost well to have a bath and then get sick and die ', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']",sick - be - tired - sober - drunk - warm - cold - wake - sweaty - after,FALSE,hơnhek
1223,"to describe child who has been crying, is sad",27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,hơnhĕr
1224,to work hard and long,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,hơnhik
1225,very sweaty,48,48_smell_smelly_sickness_eating,"['smell', 'smelly', 'sickness', 'eating', 'lymph', 'glands', 'pounding', 'noise', 'fever', 'body']","['bad smell of old meat', 'bad, dirty, smelly', 'bad smell']",smell - smelly - sickness - eating - lymph - glands - pounding - noise - fever - body,FALSE,honhǐr-honhăr
1226,"tobacco ashes, ashes flying from fire",25,25_surfaced_shaped_straw_roof,"['surfaced', 'shaped', 'straw', 'roof', 'large', 'blanket', 'skin', 'gongs', 'type', 'pitch']","['palm-shaped, spoke-shaped as rays of sun at dawn', 'to describe flat-surfaced object in flight', 'to describe flat-surfaced object']",surfaced - shaped - straw - roof - large - blanket - skin - gongs - type - pitch,FALSE,hơnhok
1227,to be worthy,20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,hơnhŏ
1228,unworthy,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,kơ hơnhŏ
1229,to squint at,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,hơnhơr
1230,type of fish net,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,hơnhuăl
1231,"to jump up quickly, to stop one doing something",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,hơ'nhah
1232,to feel sticky,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,hơ'nhit-hơ'nhat
1233,to prune a tree,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,hơ'nhre
1234,to be wet,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,hơ'nhuih
1235,to raise arm holding something ready to hit someone or something,34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,TRUE,hơô
1236,small firewood,6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,hơpaih
1237,"to rub off dirt, wash off",24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,hơpĕch
1238,"a torch, something used to set fire like dry bamboo",38,38_cut_wood_bamboo_into,"['cut', 'wood', 'bamboo', 'into', 'rice', 'slices', 'tube', 'with', 'knife', 'small']","['to cut into big slices', 'to cut small wood bamboo in two ', 'to cut into small slices']",cut - wood - bamboo - into - rice - slices - tube - with - knife - small,FALSE,hơpoih
1239,the flesh on either side of the backbone,32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,hơpok
1240,"to visit, in some dialect especially to visit when someone has died",27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,hơpong
1241,to sweep,18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,hơpuih
1242,a fruit like the apple or fig,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,hơra
1243,to tie hard,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,hơret
1244,to be leaning over almost falling,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,hơrêng
1245,"to sing, chant",12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,hơri
1246,"behind, after",1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,horŏng
1247,a type of worm that eats rice plants,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,hơrỡng
1248,"a very loud noise, to be noisy",49,49_noise_loud_crying_sound,"['noise', 'loud', 'crying', 'sound', 'of', 'drowning', 'bubbling', 'ghost', 'noisy', 'person']","['noise of person crying; noise of blowing on something ', 'loud noise', 'loud noise ']",noise - loud - crying - sound - of - drowning - bubbling - ghost - noisy - person,FALSE,"hơrỡng, hrỡng"
1249,to pull with a jerk,34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,horỡt
1250,friendly,9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,hơtach
1251,"at that time, when",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,hơtai
1252,long fat type of banana,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,"hơtang, prit hơtang"
1253,to land hard on the ground,18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,hơtat
1254,"instruct, command, request one to do something, buy something for someone",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,hơtă
1255,thin--in reference to material objects but not people,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,hơtăng
1256,stem of fruit handle of pot,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,hơtŏng
1257,to pound hole into ground,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,hơtỡp
1258,to cook potatoes or corn,23,23_rice_cooked_food_jar,"['rice', 'cooked', 'food', 'jar', 'grains', 'cook', 'wine', 'grain', 'unhusked', 'used']","['cooked rice', 'type of rice', 'cooked rice']",rice - cooked - food - jar - grains - cook - wine - grain - unhusked - used,FALSE,hơtŭk
1259,to come together,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,hotŭn
1260,to bump into,18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,hơtŭt
1261,intensive of hơtŭt,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,hơtŭt-hơtat
1262,"bad-mannered, bad-tempered, mean--male only",27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,TRUE,howĕng
1263,"barren, not being able to have children",14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,howŏng
1264,to feel for something in the dark--farther out,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,hơwơi
1265,to feel for something in the dark--nearer,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,hơwỡ
1266,to be confused,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,hơwỡl
1267,to swing arm back and forth,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,hơwỡt
1268,ashes (restricted to paper light material),6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,hơyok
1269,small wild fruit that grows on trees,30,30_edible_fruit_seed_bananas,"['edible', 'fruit', 'seed', 'bananas', 'corn', 'type', 'yellow', 'like', 'rice', 'vegetables']","['plant that edible seed and leaves the seed pops', 'edible yellow fruit that grows on vines that climb trees', 'type of corn-like plant seed of which is used to make wine and other things ']",edible - fruit - seed - bananas - corn - type - yellow - like - rice - vegetables,FALSE,hoyŏu
1270,"to want, lust for, desire",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,hơyuh
1271,"steam, air",19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,"hơyuh, ayuh"
1272,to describe someone whose hair is all matted because he never washes it,26,26_person_evil_emphatic_eyes,"['person', 'evil', 'emphatic', 'eyes', 'intently', 'unbelief', 'pretty', 'describe', 'voice', 'looking']","[""to describe a blind person's eyes"", 'to describe a person with small eyes looking intently at something ', 'to describe a person with big eyes looking intently at something']",person - evil - emphatic - eyes - intently - unbelief - pretty - describe - voice - looking,FALSE,hơyui
1273,almost invisible or out of sight,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,hơyŭi
1274,a bunch of fruit,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,hơyŭl
1275,of food to be peppery,23,23_rice_cooked_food_jar,"['rice', 'cooked', 'food', 'jar', 'grains', 'cook', 'wine', 'grain', 'unhusked', 'used']","['cooked rice', 'type of rice', 'cooked rice']",rice - cooked - food - jar - grains - cook - wine - grain - unhusked - used,FALSE,hỡ
1276,to not want to eat because of odor,46,46_eat_eating_food_drink,"['eat', 'eating', 'food', 'drink', 'drinking', 'spirits', 'bad', 'for', 'appetite', 'hungry']","['to get hungry for when seeing someone else eat', 'to eat slowly, eat a little', 'to eat ']",eat - eating - food - drink - drinking - spirits - bad - for - appetite - hungry,FALSE,hỡk
1277,question marker,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,FALSE,hỡm
1278,then,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,hỡm
1279,tobacco,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,hỡt
1280,maggots,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,FALSE,hrai
1281,a full swing of the arms as in falling or knock to someone down,34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,hraih
1282,to fall and land on small of back,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,hraihdang
1283,to leak out a little,24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,hram
1284,to throw a spear,32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,hrang
1285,good healthy body,41,41_sick_be_tired_sober,"['sick', 'be', 'tired', 'sober', 'drunk', 'warm', 'cold', 'wake', 'sweaty', 'after']","['to become sick of', 'after sickness when feeling almost well to have a bath and then get sick and die ', 'to be sober (after being drunk), to be well after being sick, to be talkative and friendly']",sick - be - tired - sober - drunk - warm - cold - wake - sweaty - after,FALSE,hrao
1286,to wash rice,23,23_rice_cooked_food_jar,"['rice', 'cooked', 'food', 'jar', 'grains', 'cook', 'wine', 'grain', 'unhusked', 'used']","['cooked rice', 'type of rice', 'cooked rice']",rice - cooked - food - jar - grains - cook - wine - grain - unhusked - used,FALSE,hrao
1287,"tired, hard, difficult",31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,hrat
1288,crossbow,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,hră
1289,"to mend, sew with string cord",33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,hrăk
1290,"enough, too much",31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,hrăp
